,Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,TotalLivingSF,TotalMainBath,TotalBath,AgeSold,TotalPorchSF,TotalSF,TotalArea,GarageAgeSold,LastRemodelYrs,NbhdPricePerSF
0,1,60,65.0,8450,7,5,2003,2003,6,3,196.0,3,2,3,706,0,150,856,2,4,1,3,856,854,0,1710,1,0,2,1,3,1,3,8,0,4,2003.0,2,2,548,3,0,61,0,0,0,0,0,2,2008,208500,2566,2.5,3.5,5,61,2416,3114,5.0,5,75.04142143422128
1,2,20,80.0,9600,6,8,1976,1976,1,0,0.0,2,2,2,978,0,284,1262,2,4,1,3,1262,0,0,1262,0,1,2,0,3,1,2,6,1,4,1976.0,2,2,460,3,298,0,0,0,0,0,0,5,2007,181500,2524,2.0,2.5,31,298,2240,2984,31.0,31,83.46043851286939
2,3,60,68.0,11250,7,5,2001,2002,6,3,162.0,3,2,3,486,0,434,920,2,4,1,3,920,866,0,1786,1,0,2,1,3,1,3,6,1,4,2001.0,2,2,608,3,0,42,0,0,0,0,0,9,2008,223500,2706,2.5,3.5,7,42,2272,3314,7.0,6,75.04142143422128
3,4,70,60.0,9550,7,5,1915,1970,1,0,0.0,2,2,1,216,0,540,756,2,3,1,3,961,756,0,1717,1,0,1,0,3,1,3,7,1,2,1998.0,1,3,642,3,0,35,272,0,0,0,0,2,2006,140000,2473,1.0,2.0,91,307,1933,3115,8.0,36,74.76968106580541
4,5,60,84.0,14260,8,5,2000,2000,6,3,350.0,3,2,3,655,0,490,1145,2,4,1,3,1145,1053,0,2198,1,0,2,1,4,1,3,9,1,4,2000.0,2,3,836,3,192,84,0,0,0,0,0,12,2008,250000,3343,2.5,3.5,8,276,2853,4179,8.0,8,83.76917498948856
5,6,50,85.0,14115,5,5,1993,1995,6,0,0.0,2,2,2,732,0,64,796,2,4,1,3,796,566,0,1362,1,0,1,1,1,1,2,5,0,4,1993.0,1,2,480,3,40,30,0,320,0,0,700,10,2009,143000,2158,1.5,2.5,16,390,2094,2638,16.0,14,65.41403406858139
6,7,20,75.0,10084,8,5,2004,2005,6,4,186.0,3,2,3,1369,0,317,1686,2,4,1,3,1694,0,0,1694,1,0,2,0,3,1,3,7,1,4,2004.0,2,2,636,3,255,57,0,0,0,0,0,8,2007,307000,3380,2.0,3.0,3,312,3063,4016,3.0,2,82.65035776115711
7,8,60,0.0,10382,7,6,1973,1973,3,4,240.0,2,2,2,859,32,216,1107,2,4,1,3,1107,983,0,2090,1,0,2,1,3,1,2,7,2,4,1973.0,2,2,484,3,235,204,228,0,0,0,350,11,2009,200000,3197,2.5,3.5,36,667,2981,3681,36.0,36,65.60556289753659
8,9,50,51.0,6120,7,5,1931,1950,5,0,0.0,2,2,1,0,0,952,952,2,3,1,1,1022,752,0,1774,0,0,2,0,2,2,2,8,2,2,1931.0,1,2,468,2,90,0,205,0,0,0,0,4,2008,129900,2726,2.0,2.0,77,295,1774,3194,77.0,58,56.50343751827948
9,10,190,50.0,7420,5,6,1939,1950,1,0,0.0,2,2,1,851,0,140,991,2,4,1,3,1077,0,0,1077,1,0,1,0,2,2,2,5,2,4,1939.0,2,1,205,4,0,4,0,0,0,0,0,1,2008,118000,2068,1.0,2.0,69,4,1928,2273,69.0,58,63.70429189835996
10,11,20,70.0,11200,5,5,1965,1965,3,0,0.0,2,2,2,906,0,134,1040,2,4,1,3,1040,0,0,1040,1,0,1,0,3,1,2,5,0,2,1965.0,1,1,384,3,0,0,0,0,0,0,0,2,2008,129500,2080,1.0,2.0,43,0,1946,2464,43.0,43,62.675326605163775
11,12,60,85.0,11924,9,5,2005,2006,1,4,286.0,4,2,3,998,0,177,1175,2,4,1,3,1182,1142,0,2324,1,0,3,0,4,1,4,11,2,4,2005.0,3,3,736,3,147,21,0,0,0,0,0,7,2006,345000,3499,3.0,4.0,1,168,3322,4235,1.0,0,89.88078067216345
12,13,20,0.0,12968,5,6,1962,1962,3,0,0.0,2,2,2,737,0,175,912,2,2,1,3,912,0,0,912,1,0,1,0,2,1,2,4,0,2,1962.0,1,1,352,3,140,0,0,0,176,0,0,9,2008,144000,1824,1.0,2.0,46,316,1649,2176,46.0,46,62.675326605163775
13,14,20,91.0,10652,7,5,2006,2007,6,4,306.0,3,2,3,0,0,1494,1494,2,4,1,3,1494,0,0,1494,0,0,2,0,3,1,3,7,1,4,2006.0,2,3,840,3,160,33,0,0,0,0,0,8,2007,279500,2988,2.0,2.0,1,193,1494,3828,1.0,0,75.04142143422128
14,15,20,0.0,10920,6,5,1960,1960,1,3,212.0,2,2,2,733,0,520,1253,2,2,1,3,1253,0,0,1253,1,0,1,1,2,1,2,5,1,4,1960.0,2,1,352,3,0,213,176,0,0,0,0,5,2008,157000,2506,1.5,2.5,48,389,1986,2858,48.0,48,62.495892085837696
15,16,45,51.0,6120,7,8,1929,2001,1,0,0.0,2,2,1,0,0,832,832,2,4,1,2,854,0,0,854,0,0,1,0,2,1,2,5,0,2,1991.0,1,2,576,3,48,112,0,0,0,0,0,7,2007,132000,1686,1.0,1.0,78,160,854,2262,16.0,6,63.70429189835996
16,17,20,0.0,11241,6,7,1970,1970,1,3,180.0,2,2,2,578,0,426,1004,2,4,1,3,1004,0,0,1004,1,0,1,0,2,1,2,5,1,4,1970.0,3,2,480,3,0,0,0,0,0,0,700,3,2010,149000,2008,1.0,2.0,40,0,1582,2488,40.0,40,62.495892085837696
17,18,90,72.0,10791,4,5,1967,1967,1,0,0.0,2,2,0,0,0,0,0,2,2,1,3,1296,0,0,1296,0,0,2,0,2,2,2,6,0,1,1967.0,1,2,516,3,0,0,0,0,0,0,500,10,2006,90000,1296,2.0,2.0,39,0,1296,1812,39.0,39,62.675326605163775
18,19,20,66.0,13695,5,5,2004,2004,6,0,0.0,2,2,3,646,0,468,1114,2,4,1,3,1114,0,0,1114,1,0,1,1,3,1,3,6,0,2,2004.0,1,2,576,3,0,102,0,0,0,0,0,6,2008,159000,2228,1.5,2.5,4,102,1760,2804,4.0,4,71.1354746978608
19,20,20,70.0,7560,5,6,1958,1965,5,0,0.0,2,2,2,504,0,525,1029,2,2,1,3,1339,0,0,1339,0,0,1,0,3,1,2,6,0,4,1958.0,1,1,294,3,0,0,0,0,0,0,0,5,2009,139000,2368,1.0,1.0,51,0,1843,2662,51.0,44,62.495892085837696
20,21,60,101.0,14215,8,5,2005,2006,6,3,380.0,3,2,3,0,0,1158,1158,2,4,1,3,1158,1218,0,2376,0,0,3,1,4,1,3,9,1,4,2005.0,2,3,853,3,240,154,0,0,0,0,0,11,2006,325300,3534,3.5,3.5,1,394,2376,4387,1.0,0,89.88078067216345
21,22,45,57.0,7449,7,7,1930,1950,1,0,0.0,2,2,3,0,0,637,637,2,4,1,1,1108,0,0,1108,0,0,1,0,3,1,3,6,1,4,1930.0,1,1,280,3,0,0,205,0,0,0,0,6,2007,139400,1745,1.0,1.0,77,205,1108,2025,77.0,57,53.85268421741216
22,23,20,75.0,9742,8,5,2002,2002,6,3,281.0,3,2,3,0,0,1777,1777,2,4,1,3,1795,0,0,1795,0,0,2,0,3,1,3,7,1,4,2002.0,2,2,534,3,171,159,0,0,0,0,0,9,2008,230000,3572,2.0,2.0,6,330,1795,4106,6.0,6,75.04142143422128
23,24,120,44.0,4224,5,7,1976,1976,7,0,0.0,2,2,3,840,0,200,1040,2,2,1,3,1060,0,0,1060,1,0,1,0,3,1,2,6,1,4,1976.0,1,2,572,3,100,110,0,0,0,0,0,6,2007,129900,2100,1.0,2.0,31,210,1900,2672,31.0,31,57.56982376584562
24,25,20,0.0,8246,5,8,1968,2001,4,0,0.0,2,3,2,188,668,204,1060,2,4,1,3,1060,0,0,1060,1,0,1,0,3,1,3,6,1,4,1968.0,1,1,270,3,406,90,0,0,0,0,0,5,2010,154000,2120,1.0,2.0,42,496,1916,2390,42.0,9,62.675326605163775
25,26,20,110.0,14230,8,5,2007,2007,6,4,640.0,3,2,3,0,0,1566,1566,2,4,1,3,1600,0,0,1600,0,0,2,0,3,1,3,7,1,4,2007.0,2,3,890,3,0,56,0,0,0,0,0,7,2009,256300,3166,2.0,2.0,2,56,1600,4056,2.0,2,89.88078067216345
26,27,20,60.0,7200,5,7,1951,2000,1,0,0.0,2,2,2,234,486,180,900,2,2,1,3,900,0,0,900,0,1,1,0,3,1,3,5,0,2,2005.0,1,2,576,3,222,32,0,0,0,0,0,5,2010,134800,1800,1.0,1.5,59,254,1620,2376,5.0,10,62.495892085837696
27,28,20,98.0,11478,8,5,2007,2008,6,4,200.0,3,2,3,1218,0,486,1704,2,4,1,3,1704,0,0,1704,1,0,2,0,3,1,3,7,1,4,2008.0,2,3,772,3,0,50,0,0,0,0,0,5,2010,306000,3408,2.0,3.0,3,50,2922,4180,2.0,2,89.88078067216345
28,29,20,47.0,16321,5,6,1957,1997,1,0,0.0,2,2,2,1277,0,207,1484,2,2,1,3,1600,0,0,1600,1,0,1,0,2,1,2,6,2,4,1957.0,2,1,319,3,288,258,0,0,0,0,0,12,2006,207500,3084,1.0,2.0,49,546,2877,3403,49.0,9,62.495892085837696
29,30,30,60.0,6324,4,6,1927,1950,1,0,0.0,2,2,1,0,0,520,520,2,1,0,3,520,0,0,520,0,0,1,0,1,1,1,4,0,2,1920.0,1,1,240,2,49,0,87,0,0,0,0,5,2008,68500,1040,1.0,1.0,81,136,520,1280,88.0,58,63.70429189835996
